序号,车型,简介,价格区间,二二年销量
0,宋PLUS,比亚迪/紧凑型suv,15.48-21.88万,410917
1,宏光MINIEV,上汽通用五菱/微型车,3.28-9.99万,398708
2,轩逸,东风日产/紧凑型车,7.48-17.49万,391773
3,朗逸,上汽大众/紧凑型车,7.29-12.69万,327321
4,MODEL Y,特斯拉中国/中型suv,26.19-36.19万,320073
5,卡罗拉,一汽丰田/紧凑型车,8.48-13.98万,249271
6,凯美瑞,广汽丰田/中型车,15.98-24.98万,231844
7,海豚,比亚迪/小型车,11.68-13.68万,225327
8,速腾,一汽-大众/紧凑型车,10.79-15.29万,222262
9,长安CS75 PLUS,长安汽车/紧凑型suv,10.79-14.49万,219490
10,哈弗H6,长城汽车/紧凑型suv,8.39-14.20万,218430
11,雅阁,广汽本田/中型车,15.08-24.28万,211860
12,宝来,一汽-大众/紧凑型车,7.48-13.30万,204258
13,本田CR-V,东风本田/紧凑型suv,15.78-25.18万,204644
14,元PLUS,比亚迪/紧凑型suv,13.98-16.78万,195326
15,雷凌,广汽丰田/紧凑型车,8.98-14.88万,188393
16,秦PLUS,比亚迪/紧凑型车,9.98-16.58万,299260
17,帕萨特,上汽大众/中型车,15.89-22.99万,162736
18,RAV4荣放,一汽丰田/紧凑型suv,15.08-23.58万,159166
19,迈腾,一汽-大众/中型车,16.29-22.99万,150611
20,宝马5系,华晨宝马/中大型车,37.90-56.25万,147101
21,奔驰C级,北京奔驰/中型车,27.65-37.81万,146590
22,思域,东风本田/紧凑型车,11.79-17.59万,144566
23,长安CS55 PLUS,长安汽车/紧凑型suv,8.49-11.59万,143118
24,五菱宏光,上汽通用五菱/微型车,4.60-5.99万,140449
25,奔驰GLC,北京奔驰/中型suv,38.63-45.39万,139633
26,汉,比亚迪/中大型车,20.78-31.18万,274337
27,Model 3,特斯拉中国/中型车,22.99-32.99万,137917
28,逍客,东风日产/紧凑型suv,12.69-16.09万,137402
29,逸动,长安汽车/紧凑型车,5.29-8.39万,135808
31,途观L,上汽大众/中型suv,17.40-25.88万,134842
32,宝马3系,华晨宝马/中型车,28.50-38.20万,132449
33,威兰达,广汽丰田/紧凑型suv,15.08-22.58万,130288
34,帝豪,吉利汽车/紧凑型车,6.39-8.29万,129523
35,奥迪A4L,一汽-大众奥迪/中型车,26.58-39.97万,128991
36,AION Y,广汽埃安新能源/紧凑型suv,11.98-18.48万,128974
37,天籁,东风日产/中型车,15.18-24.18万,128609
38,星越L,吉利汽车/紧凑型suv,12.92-17.72万,129802
39,AION S,广汽埃安新能源/紧凑型车,13.98-18.66万,127821
40,威朗,上汽通用别克/紧凑型车,8.88-11.88万,125727
41,唐DM,比亚迪/中型suv,20.98-33.18万,124976
42,奥迪Q5L,一汽-大众奥迪/中型suv,34.08-41.95万,124498
43,奥迪A6L,一汽-大众奥迪/中大型车,36.28-58.68万,120898
44,奔驰E级,北京奔驰/中大型车,39.01-56.95万,120364
45,红旗HS5,一汽红旗/中型suv,18.38-24.98万,120194
47,长安UNI-V,长安汽车/紧凑型车,9.89-12.99万,120137
48,皓影,广汽本田/紧凑型suv,11.98-24.99万,119639
49,别克GL8,上汽通用别克,22.69-46.79万,113019
50,星瑞,吉利汽车/紧凑型车,10.57-13.77万,111445
51,瑞虎8,奇瑞汽车/中型suv,8.69-16.89万,109823
52,途岳,上汽大众/紧凑型suv,12.86-18.66万,108693
53,锋兰达,广汽丰田/紧凑型suv,11.58-16.98万,108024
54,宝马X3,华晨宝马/中型suv,35.30-48.69万,106513
55,桑塔纳,上汽大众/紧凑型车,5.79-8.28万,105111
56,昂科威,上汽通用别克/中型suv,16.89-26.89万,103320
57,凌渡,上汽大众/紧凑型车,13.59-17.59万,102832
58,亚洲龙,一汽丰田/中型车,17.48-25.48万,102068
59,缤越,吉利汽车/小型suv,6.98-11.48万,102054
60,科鲁泽,上汽通用雪佛兰/紧凑型车,7.49-8.89万,98216
61,捷途X70,奇瑞汽车/中型suv,7.89-16.79万,95124
62,坦克300,长城汽车/紧凑型suv,19.88-30.28万,93755
63,伊兰特,北京现代/紧凑型车,7.68-11.88万,93691
64,哪吒V,合众汽车/小型suv,8.39-10.38万,93474
66,哈弗大狗,长城汽车/紧凑型suv,10.99-15.79万,91685
67,探岳,一汽-大众/中型suv,17.69-23.19万,87195
68,长安欧尚X5,长安汽车/紧凑型suv,6.99-10.79万,96969
69,QQ冰淇淋,奇瑞新能源/微型车,3.99-5.75万,85973
70,T-ROC探歌,一汽-大众/紧凑型suv,12.39-14.29万,84519
71,小蚂蚁,奇瑞新能源/微型车,7.00-10.30万,84351
72,缤智,广汽本田/小型suv,13.29-15.29万,82536
73,奔奔E-Star,长安汽车/微型车,7.89-7.99万,81324
74,本田XR-V,东风本田/小型suv,12.49-14.49万,79226
75,YARiS L 致炫,广汽丰田/小型车,7.58-9.38万,79209
76,宝马X1,华晨宝马/紧凑型suv,20.70-25.70万,79189
77,高尔夫,一汽-大众/紧凑型车,11.98-21.98万,78912
78,赛那SIENNA,广汽丰田,30.98-41.18万,77362
79,型格,广汽本田/紧凑型车,11.79-18.69万,76095
80,汉兰达,广汽丰田/中型suv,26.88-34.88万,75976
81,长安Lumin糯玉米,长安汽车/微型车,4.99-6.99万,73495
82,ZEEKR 001,极氪/中大型车,30.00-40.30万,73450
83,宋PLUS新能源,比亚迪/紧凑型suv,18.68-20.38万,73328
84,驱逐舰05,比亚迪/紧凑型车,12.18-15.78万,71565
85,君威,上汽通用别克/中型车,14.78-20.08万,70349
86,荣威i5,上汽集团/紧凑型车,5.59-9.99万,69847
87,风神E70,东风乘用车/紧凑型车,14.28-15.38万,69591
88,传祺GS4,广汽乘用车/紧凑型suv,8.08-12.18万,69233
89,传祺M8,广汽乘用车,17.98-36.98万,69012
90,长安CS35 PLUS,长安汽车/小型suv,5.49-9.49万,68881
91,名爵5,上汽集团/紧凑型车,6.49-9.69万,68757
92,英朗,上汽通用别克/紧凑型车,7.69-8.29万,68672
93,英仕派,东风本田/中型车,15.49-23.09万,68156
94,宝马X5,华晨宝马/中大型suv,60.50-77.20万,67948
95,哈弗M6,长城汽车/紧凑型suv,6.49-8.59万,67592
96,捷达VS5,一汽-大众捷达/紧凑型suv,8.38-11.28万,67077
97,五菱星辰,上汽通用五菱/紧凑型suv,6.98-10.98万,66290
98,海豹,比亚迪/中型车,21.28-28.98万,65572
99,五菱宏光V,上汽通用五菱/微型车,4.48-5.18万,65535
100,凯迪拉克CT5,上汽通用凯迪拉克/中型车,22.97-36.07万,63280
101,蒙迪欧,长安福特/中型车,15.98-21.88万,62346
102,沃尔沃XC60,沃尔沃亚太/中型suv,29.99-39.69万,62329
103,奥迪A3,一汽-大众奥迪/紧凑型车,20.30-25.12万,62107
104,荣威RX5,上汽集团/紧凑型suv,8.33-13.09万,74501
105,奥迪Q3,一汽-大众奥迪/紧凑型suv,21.48-32.96万,61691
106,缤瑞,吉利汽车/紧凑型车,9.08-10.48万,60402
107,奕炫,东风乘用车/紧凑型车,6.49-9.39万,60321
108,理想ONE,理想汽车/中大型suv,34.98万,60284
109,问界M5,赛力斯汽车/中型suv,25.98-33.18万,60009
110,飞度,广汽本田/小型车,7.28-9.98万,59612
111,长安欧尚Z6,长安汽车/紧凑型suv,9.69-11.99万,58745
112,奔驰GLB,北京奔驰/紧凑型suv,23.09-29.98万,58636
113,北京现代ix35,北京现代/紧凑型suv,10.58-13.18万,57621
114,博越,吉利汽车/紧凑型suv,11.77-16.27万,111354
115,零跑TO3,零跑汽车/微型车,5.99-9.45万,55830
117,理想L9,理想汽车/大型suv,45.98万,54268
118,五菱荣光,上汽通用五菱/微型车,4.09-5.75万,53272
119,领克03,领克/紧凑型车,12.88-25.68万,52544
120,欧拉好猫,长城汽车/小型车,10.78-17.10万,52202
121,小鹏P7,小鹏汽车/中型车,20.99-33.99万,52138
122,艾瑞泽5,奇瑞汽车/紧凑型车,5.59-8.38万,51888
123,长安UNI-T,长安汽车/紧凑型suv,10.59-12.99万,51486
124,传祺GS8,广汽乘用车/中型suv,18.18-26.48万,51480
125,几何A,几何汽车/紧凑型车,12.38-20.78万,51395
126,宋PRO新能源,比亚迪/紧凑型suv,13.40-15.90万,48886
127,马自达3 昂克赛拉,长安马自达/紧凑型车,10.39-15.69万,48715
128,途昂,上汽大众/中大型suv,26.80-37.80万,48419
129,哪吒U,合众汽车/紧凑型suv,12.38-20.68万,47380
130,瑞虎7,奇瑞汽车/紧凑型suv,7.89-14.49万,47344
131,皇冠陆放,一汽丰田/中型suv,27.58-35.28万,47030
132,长安欧尚X7,长安汽车/紧凑型suv,7.89-12.19万,46215
133,奔驰A级,北京奔驰/紧凑型车,14.98-19.98万,48435
134,捷达VA3,一汽-大众捷达/紧凑型车,6.48-9.18万,45610
135,领克06,领克/小型suv,11.06-13.48万,51511
136,影豹,广汽乘用车/紧凑型车,9.03-14.00万,44515
137,冠道,广汽本田/中型suv,20.48-31.28万,44394
138,红旗H5,一汽红旗/中型车,14.58-19.08万,77076
139,佳辰,上汽通用五菱/紧凑型MPV,6.88-9.98万,43223
140,ID.4 CROZZ,一汽-大众/紧凑型suv,16.79-25.39万,43117
141,零跑C11,零跑汽车/中型suv,14.98-23.88万,42919
142,凯迪拉克XT5,上汽通用凯迪拉克/中型suv,27.77-37.77万,42205
143,凡尔赛C5 X,东风雪铁龙/中型车,14.37-18.67万,41426
144,启辰D60EV,东风日产启辰/紧凑型车,12.98-15.30万,46968
145,红旗E-QM5,一汽红旗/中型车,12.28-20.78万,39647
146,北京EU5,北京汽车/紧凑型车,12.99-17.19万,39505
147,威驰,一汽丰田/小型车,6.38-8.48万,38310
148,微蓝6,上汽通用别克/紧凑型车,15.19-17.09万,37979
149,花仙子,江汽集团/微型车,6.69-9.09万,37340
150,蔚来ES6,蔚来/中型suv,38.60-55.40万,37176
